Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
4,51,50.9,45.3
9,149,149,169
14,312,312,332
19,467,467,473
24,490,490,490
29,490,490,490
34,490,490,490
39,490,490,490
44,491,491,491
49,504,504,507
54,527,527,530
59,549,549,552
64,558,558,558
69,558,558,558
74,558,558,558
79,558,558,558
84,558,558,558
89,566,566,569
94,593,593,596
99,620,620,624
104,640,639,641
109,641,641,641
114,642,642,641
119,642,642,641
124,641,642,641
129,652,652,668
134,787,787,804
139,931,931,949
144,1067,1067,1069
149,1080,1080,1080
154,1080,1080,1080
159,1079,1079,1079
164,1081,1080,1081
169,1084,1084,1084
174,1086,1086,1086
179,1084,1084,1085
184,1086,1086,1085
189,1084,1084,1083
194,1083,1083,1082
199,1080,1080,1081
204,1083,1083,1083
209,1085,1085,1085
214,1085,1085,1085
219,1085,1085,1085
224,1089,1088,1088
229,1090,1090,1089
234,1086,1086,1085
239,1082,1082,1082
244,1082,1082,1083
249,1084,1084,1084
254,1087,1087,1087
259,1088,1088,1088
264,1088,1088,1087
269,1085,1085,1085
274,1085,1084,1084
279,1084,1084,1085
284,1087,1087,1087
289,1086,1086,1086
294,1085,1085,1085
299,1081,1081,1081
304,1067,1067,1044
309,801,801,756
314,442,442,397
