Time,Total Transactions (Received),Successful Transactions
0,16,16
15,49,49
30,49,49
45,49,49
60,49,49
75,76,76
90,263,263
105,589,589
120,1065,1065
135,1465,1465
150,1553,1553
165,1553,1553
180,1553,1553
195,1553,1553
210,1553,1553
225,1891,1891
240,3374,3374
255,5211,5211
270,7377,7376
285,10013,10013
300,13381,13381
315,17936,17935
330,24612,24552
345,30900,30898
360,31856,31856
375,31856,31856
390,31856,31856
405,33406,33406
420,36856,36856
435,36858,36858
450,41856,41856
465,41856,41856
480,41856,41856
495,41856,41856
510,41856,41856
525,44356,41856
540,44356,41856
555,46856,41856
570,46856,41856
585,49356,41856
600,49356,41856
615,49356,41856
630,49356,41856
