Time,Successful
0,5
15,13
30,395
45,1145
60,1517
75,1671
90,3013
105,4798
120,6891
135,9432
150,12654
165,17080
180,24557
195,36286
210,38431
225,39553
240,48431
255,48431
270,48431
285,48431
300,48431
315,48431
330,48431
345,48431
