Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
2,0,0,
7,0,0,
12,3.47618,3.47618,
17,11.90931,11.90931,14.1290375
22,23.31527,23.31527,23.982612500000002
27,34.08438,34.08438,33.9325875
32,38.52562820769179,38.52562820769179,39.66571685662868
37,42.6,42.6,43.916666666666664
42,43.4,43.4,42.166666666666664
47,37.274121490964866,37.274121490964866,34.000950190038004
52,24.866666666666667,24.866666666666667,21.25
57,15.733333333333333,15.733333333333333,14.75
62,11.6,11.6,10.616666666666667
67,7.3999999999999995,7.3999999999999995,6.683333333333334
