Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
5,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,0.000771,,
10,0.000678,0.000537,,,,,,,0.000703,0.000637,0.000529,0.000674,0.000590,0.000751,,
15,0.000678,0.000537,,,,,,,0.000703,0.000637,0.000671,0.000674,0.000590,0.000720,,
20,0.000678,0.000537,,,,,,,0.000703,0.000637,0.000671,0.000674,0.000590,0.000723,,
25,NaN,NaN,,,,,,,NaN,NaN,0.000813,NaN,NaN,NaN,,
30,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
35,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
40,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
45,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
50,0.000533,NaN,,,,,,,0.000585,NaN,NaN,0.000548,0.000599,0.000594,,
55,0.000584,0.000628,,,,,,,0.000628,0.000642,0.000618,0.000628,0.000682,0.000663,,
60,0.000653,0.000640,,,,,,,0.000629,0.000688,0.000662,0.000684,0.000668,0.000686,,
65,0.000681,0.000668,,,,,,,0.000662,0.000682,0.000670,0.000664,0.000693,0.000710,,
70,0.000704,0.000704,,,,,,,0.000668,0.000691,0.000707,0.000678,0.000702,0.000696,,
75,0.000701,0.000710,,,,,,,0.000690,0.000698,0.000708,0.000658,0.000712,0.000697,,
80,0.000728,0.000700,,,,,,,0.000699,0.000706,0.000714,0.000671,0.000709,0.000688,,
85,0.000748,0.000688,,,,,,,0.000709,0.000707,0.000702,0.000672,0.000718,0.000695,,
90,0.000755,0.000680,,,,,,,0.000702,0.000690,0.000694,0.000689,0.000713,0.000717,,
95,0.000719,0.000677,,,,,,,0.000679,0.000685,0.000690,0.000700,0.000709,0.000713,,
100,0.000697,0.000675,,,,,,,0.000686,0.000701,0.000679,0.000709,0.000701,0.000765,,
105,0.000706,0.000706,,,,,,,0.000675,0.000720,0.000709,0.000725,0.000658,0.000661,,
110,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
115,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
120,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
125,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
130,0.000702,0.000678,,,,,,,0.000678,0.000666,NaN,0.000666,0.000674,0.000650,,
135,0.000655,0.000655,,,,,,,0.000649,0.000657,0.000687,0.000642,0.000656,0.000660,,
140,0.000667,0.000655,,,,,,,0.000678,0.000656,0.000671,0.000667,0.000671,0.000673,,
145,0.000675,0.000677,,,,,,,0.000677,0.000678,0.000680,0.000681,0.000685,0.000680,,
150,0.000672,0.000695,,,,,,,0.000695,0.000697,0.000677,0.000687,0.000686,0.000683,,
155,0.000668,0.000694,,,,,,,0.000680,0.000707,0.000675,0.000681,0.000686,0.000680,,
160,0.000662,0.000687,,,,,,,0.000701,0.000702,0.000666,0.000680,0.000676,0.000682,,
165,0.000668,0.000676,,,,,,,0.000686,0.000677,0.000654,0.000674,0.000671,0.000675,,
170,0.000671,0.000671,,,,,,,0.000706,0.000672,0.000654,0.000673,0.000666,0.000671,,
175,0.000676,0.000667,,,,,,,0.000655,0.000653,0.000654,0.000635,0.000652,0.000649,,
180,0.000700,0.000638,,,,,,,0.000699,0.000709,0.000687,0.000661,0.000692,0.000656,,
185,0.000957,0.000784,,,,,,,0.000568,0.000685,0.000730,0.000573,0.000593,0.000601,,
190,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
195,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
200,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
205,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
210,NaN,NaN,,,,,,,0.000912,NaN,NaN,0.000700,NaN,0.000769,,
215,0.000683,0.000698,,,,,,,0.000690,0.000655,0.000652,0.000702,0.000698,0.000703,,
220,0.000680,0.000685,,,,,,,0.000694,0.000672,0.000671,0.000705,0.000683,0.000709,,
225,0.000699,0.000711,,,,,,,0.000713,0.000707,0.000702,0.000719,0.000720,0.000742,,
230,0.000748,0.000754,,,,,,,0.000739,0.000747,0.000742,0.000753,0.000753,0.000774,,
235,0.000769,0.000780,,,,,,,0.000765,0.000778,0.000764,0.000769,0.000776,0.000789,,
240,0.000790,0.000793,,,,,,,0.000778,0.000788,0.000781,0.000794,0.000796,0.000788,,
245,0.000767,0.000777,,,,,,,0.000762,0.000774,0.000769,0.000769,0.000774,0.000753,,
250,0.000751,0.000753,,,,,,,0.000729,0.000749,0.000748,0.000748,0.000759,0.000733,,
255,0.000712,0.000719,,,,,,,0.000671,0.000724,0.000717,0.000674,0.000691,0.000675,,
260,0.000671,0.000660,,,,,,,0.000625,0.000693,0.000668,0.000626,0.000656,0.000685,,
