Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
2,154,154,154,,,,,,,154,154,154,154,154,154,,
7,154,154,154,,,,,,,154,154,154,154,154,154,,
12,154,154,154,,,,,,,154,154,154,154,154,154,,
17,167,154,154,,,,,,,154,164,161,154,154,154,,
22,230,191,207,,,,,,,203,227,223,195,207,216,,
27,336,266,292,,,,,,,284,331,324,272,291,309,,
32,461,385,417,,,,,,,408,456,449,392,416,434,,
37,586,510,542,,,,,,,533,581,574,517,541,559,,
42,711,635,667,,,,,,,658,706,699,642,666,684,,
47,823,760,792,,,,,,,783,820,817,767,791,809,,
52,885,848,864,,,,,,,859,883,879,851,863,872,,
57,905,898,904,,,,,,,903,904,904,899,904,904,,
62,905,905,905,,,,,,,905,905,905,905,905,905,,
67,905,905,905,,,,,,,905,905,905,905,905,905,,
72,905,905,905,,,,,,,905,905,905,905,905,905,,
77,905,905,905,,,,,,,905,905,905,905,905,905,,
82,905,905,905,,,,,,,905,905,905,905,905,905,,
87,905,905,905,,,,,,,905,905,905,905,905,905,,
