Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
0,905,905,905,,,,,,,905,905,,,,,,
5,905,905,905,,,,,,,905,905,,,,,,
10,946,906,922,,,,,,,918,941,,,,,,
15,1.07,995,1.03,,,,,,,1.02,1.07,,,,,,
20,1.30,1.15,1.21,,,,,,,1.19,1.29,,,,,,
25,1.55,1.40,1.46,,,,,,,1.44,1.54,,,,,,
30,1.80,1.65,1.71,,,,,,,1.69,1.79,,,,,,
35,2.05,1.90,1.96,,,,,,,1.94,2.04,,,,,,
40,2.26,2.15,2.19,,,,,,,2.18,2.25,,,,,,
45,2.38,2.31,2.34,,,,,,,2.33,2.38,,,,,,
50,2.41,2.40,2.41,,,,,,,2.41,2.41,,,,,,
55,2.41,2.41,2.41,,,,,,,2.41,2.41,,,,,,
60,2.41,2.41,2.41,,,,,,,2.41,2.41,,,,,,
65,2.41,2.41,2.41,,,,,,,2.41,2.41,,,,,,
