Time,Avg Endorsement Latency
820,NaN
825,NaN
830,NaN
835,NaN
840,NaN
845,NaN
850,NaN
855,NaN
860,NaN
865,NaN
870,NaN
920,0.00181
925,0.00165
930,0.00161
935,0.00159
940,0.00155
945,0.00155
950,0.00156
955,0.00159
960,0.00164
965,0.00185
970,NaN
975,0.00149
980,0.00140
985,0.00128
990,0.00124
995,0.00121
1000,0.00122
1005,0.00124
1010,0.00124
1015,0.00123
1020,0.00121
1025,0.00126
1030,NaN
1035,0.00139
1040,0.00146
1045,0.00152
1050,0.00151
1055,0.00153
1060,0.00154
1065,0.00153
1070,0.00149
1075,0.00141
1080,0.00126
1085,NaN
1090,NaN
1095,0.00133
1100,0.00135
1105,0.00136
1110,0.00138
1115,0.00139
1120,0.00139
1125,0.00138
1130,0.00138
1135,0.00137
1140,0.00140
1145,0.00147
1150,0.00155
1155,0.00160
1160,0.00161
1165,0.00162
1170,0.00162
1175,0.00162
1180,0.00162
1185,0.00163
1190,0.00166
1195,0.00165
1200,0.00166
1205,0.00165
1210,0.00166
1215,0.00165
1220,0.00173
1225,0.00206
1230,0.00272
1235,0.00334
1240,0.00372
1245,0.00377
1250,0.00367
1255,0.00371
1260,0.00375
1265,0.00391
1270,0.00395
1275,0.00394
1280,0.00399
1285,0.00408
1290,0.00412
1295,0.00411
1300,0.00416
1305,0.00411
1310,0.00417
1315,0.00415
1320,0.00415
1325,0.00415
1330,0.00409
1335,0.00440
1340,0.00441
1345,0.00445
1350,0.00418
1355,0.00409
1360,0.00405
1365,0.00412
1370,0.00416
1375,0.00417
1380,0.00418
1385,0.00408
1390,0.00417
1395,0.00381
1400,0.00322
1405,0.00233
1410,0.00153
1415,0.00154
1420,0.00257
1425,0.00349
1430,0.00341
1435,0.00368
1440,0.00325
1445,NaN
1450,NaN
1455,NaN
1460,NaN
1465,NaN
1470,NaN
1475,NaN
1480,NaN
1485,NaN
1490,NaN
1495,NaN
1500,NaN
1505,NaN
1510,NaN
1515,NaN
1520,NaN
1525,NaN
1530,NaN
1535,NaN
1540,NaN
1545,NaN
1550,NaN
1555,NaN
1560,NaN
1565,NaN
1570,NaN
1575,NaN
1580,NaN
1585,NaN
1590,NaN
1595,NaN
1600,NaN
1605,NaN
1610,NaN
1615,NaN
1620,NaN
1625,NaN
1630,NaN
1635,NaN
1640,NaN
1645,NaN
1650,NaN
1655,NaN
1660,NaN
1665,NaN
1670,NaN
1675,NaN
1680,NaN
1685,NaN
1690,NaN
1695,NaN
1700,NaN
1705,NaN
1710,NaN
1715,NaN
1720,NaN
1725,NaN
1730,NaN
1735,NaN
1740,NaN
1745,NaN
1750,NaN
1755,NaN
1760,NaN
1765,NaN
1770,NaN
1775,NaN
1780,NaN
1785,NaN
1790,NaN
1795,NaN
1800,NaN
1805,NaN
1810,NaN
1875,0.00167
1880,0.00165
1885,0.00160
1890,0.00156
1895,0.00153
1900,0.00150
1905,0.00149
1910,0.00147
1915,0.00147
1920,0.00145
1925,0.00150
1930,NaN
1935,NaN
1940,NaN
1945,NaN
1950,0.00126
1955,0.00115
1960,0.00113
1965,0.00112
1970,0.00113
1975,0.00113
1980,0.00114
1985,0.00114
1990,0.00120
1995,0.00129
2000,0.00144
2005,0.00137
2010,NaN
2015,NaN
2020,NaN
2025,NaN
2030,NaN
2035,0.00136
2040,0.00147
2045,0.00161
2050,0.00184
2055,0.00199
2060,0.00209
2065,0.00199
2070,0.00187
2075,0.00162
2080,0.00138
2085,0.00131
2090,NaN
2095,NaN
2100,NaN
2105,NaN
2110,NaN
2115,0.00137
2120,0.00137
2125,0.00142
2130,0.00154
2135,0.00175
2140,0.00192
2145,0.00201
2150,0.00202
2155,0.00199
2160,0.00200
2165,0.00200
2170,0.00203
2175,0.00204
2180,0.00203
2185,0.00205
2190,0.00208
2195,0.00211
2200,0.00215
2205,0.00215
2210,0.00220
2215,0.00232
2220,0.00241
2225,0.00246
2230,0.00244
2235,0.00245
2240,0.00284
2245,0.00316
2250,0.00401
2255,0.00585
2260,0.00869
2265,0.0120
2270,0.0136
2275,0.0135
2280,0.0121
2285,0.0122
2290,0.0120
2295,0.0129
2300,0.0118
2305,0.0148
2310,0.0147
2315,0.0160
2320,0.0127
2325,0.0135
2330,0.0123
2335,0.0140
2340,0.0123
2345,0.0131
2350,0.0116
2355,0.0131
2360,0.0125
2365,0.0145
2370,0.0132
2375,0.0148
2380,0.0129
2385,0.0131
2390,0.0135
2395,0.0133
2400,0.0157
2405,0.0152
2410,0.0172
2415,0.0139
2420,0.0106
2425,0.00565
2430,0.00379
2435,0.00237
2440,0.00241
2445,NaN
2450,NaN
2455,NaN
2460,NaN
2465,0.00176
2470,0.00525
2475,0.00630
2480,0.00657
2485,0.00637
2490,0.00582
2495,0.00174
2500,NaN
2505,NaN
2510,NaN
2515,NaN
2520,NaN
2525,NaN
2530,15.1
2535,17.2
2540,19.9
2545,22.4
2550,25.4
2555,NaN
2560,NaN
2565,NaN
2570,NaN
2575,NaN
2580,NaN
2585,NaN
2590,NaN
2595,NaN
2600,NaN
2605,NaN
2610,NaN
2615,NaN
2620,NaN
2625,NaN
2630,NaN
2635,NaN
2640,NaN
2645,NaN
2650,NaN
2655,NaN
2660,NaN
2665,NaN
2670,NaN
2675,NaN
2680,NaN
2685,NaN
2690,NaN
2695,NaN
2700,NaN
2705,NaN
2710,NaN
2715,NaN
2720,NaN
2725,NaN
2730,NaN
2735,NaN
2740,NaN
2745,NaN
2750,NaN
2755,NaN
2760,NaN
2765,NaN
2770,NaN
2775,NaN
2780,NaN
2785,NaN
2790,NaN
2795,NaN
2800,NaN
2805,NaN
2810,NaN
2815,NaN
2820,NaN
2825,NaN
2830,NaN
2835,NaN
2840,NaN
2845,NaN
2850,NaN
2855,NaN
2860,NaN
2865,NaN
2870,NaN
2875,NaN
2945,0.00137
2950,0.00136
2955,0.00136
2960,0.00136
2965,0.00134
2970,0.00134
2975,0.00133
2980,0.00137
2985,0.00137
2990,0.00137
2995,0.00138
3000,0.00139
3005,0.00137
3010,0.00135
3015,0.00135
3020,0.00133
3025,NaN
3030,NaN
3035,NaN
3040,NaN
3045,NaN
3050,0.00140
3055,0.00133
3060,0.00129
3065,0.00127
3070,0.00126
3075,0.00127
3080,0.00128
3085,0.00133
3090,0.00137
3095,0.00138
3100,0.00138
3105,0.00140
3110,0.00141
3115,0.00142
3120,0.00141
3125,0.00144
3130,NaN
3135,NaN
3140,NaN
3145,NaN
3150,NaN
3155,NaN
3160,NaN
3165,NaN
3170,NaN
3175,NaN
3180,0.00148
3185,0.00139
3190,0.00149
3195,0.00156
3200,0.00222
3205,0.00298
3210,0.00341
3215,0.00313
3220,0.00272
